folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f225_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:10.00773637960878:4:None:binary:0,fourier,,,10.007736,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:10.00773637960878:8:None:binary:0,fourier,,,10.007736,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:10.00773637960878:12:None:binary:0,fourier,,,10.007736,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f225_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:11.25:4:None:binary:0,fourier,,,11.250000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:11.25:8:None:binary:0,fourier,,,11.250000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:11.25:12:None:binary:0,fourier,,,11.250000,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f225_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:22.5:4:None:binary:0,fourier,,,22.500000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.003281,,fourier:fourier::None:22.5:8:None:binary:0,fourier,,,22.500000,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.003613,,fourier:fourier::None:22.5:12:None:binary:0,fourier,,,22.500000,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f225_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:26.25773637960878:4:None:binary:0,fourier,,,26.257736,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:26.25773637960878:8:None:binary:0,fourier,,,26.257736,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.002760,,fourier:fourier::None:26.25773637960878:12:None:binary:0,fourier,,,26.257736,12
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f263_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.001582,,fourier:fourier::None:10.00773637960878:4:None:binary:0,fourier,,,10.007736,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.001582,,fourier:fourier::None:10.00773637960878:8:None:binary:0,fourier,,,10.007736,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.001582,,fourier:fourier::None:10.00773637960878:12:None:binary:0,fourier,,,10.007736,12
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f263_th4/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.001582,,fourier:fourier::None:11.25:4:None:binary:0,fourier,,,11.250000,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.642241,0.001582,,fourier:fourier::None:11.25:8:None:binary:0,fourier,,,11.250000,8
