folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,task_key
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier,,,10.007737,4,fourier:fourier::None:10.007736611364223:4:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier,,,10.007737,8,fourier:fourier::None:10.007736611364223:8:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier,,,10.007737,12,fourier:fourier::None:10.007736611364223:12:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier,,,15.000000,4,fourier:fourier::None:15.0:4:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001467,,fourier,,,15.000000,8,fourier:fourier::None:15.0:8:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001468,,fourier,,,15.000000,12,fourier:fourier::None:15.0:12:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645424,0.003920,,fourier,,,30.000000,4,fourier:fourier::None:30.0:4:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000064,0.000554,0.604415,0.121642,,fourier,,,30.000000,8,fourier:fourier::None:30.0:8:None:binary:0
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.991867,0.613914,0.775960,0.193282,,fourier,,,30.000000,12,fourier:fourier::None:30.0:12:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier,,,10.007737,4,fourier:fourier::None:10.007736611364223:4:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001466,,fourier,,,10.007737,8,fourier:fourier::None:10.007736611364223:8:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001466,,fourier,,,10.007737,12,fourier:fourier::None:10.007736611364223:12:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier,,,15.000000,4,fourier:fourier::None:15.0:4:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001464,,fourier,,,15.000000,8,fourier:fourier::None:15.0:8:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.001466,,fourier,,,15.000000,12,fourier:fourier::None:15.0:12:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645235,0.006529,,fourier,,,30.000000,4,fourier:fourier::None:30.0:4:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.573833,0.194195,,fourier,,,30.000000,8,fourier:fourier::None:30.0:8:None:binary:0
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.999724,0.597656,0.761287,0.176711,,fourier,,,30.000000,12,fourier:fourier::None:30.0:12:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.002421,,fourier,,,10.007737,4,fourier:fourier::None:10.007736611364223:4:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.002421,,fourier,,,10.007737,8,fourier:fourier::None:10.007736611364223:8:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.009490,1.000000,0.648820,0.002421,,fourier,,,10.007737,12,fourier:fourier::None:10.007736611364223:12:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645455,0.002421,,fourier,,,15.000000,4,fourier:fourier::None:15.0:4:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000104,1.000000,0.645492,0.002421,,fourier,,,15.000000,8,fourier:fourier::None:15.0:8:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002704,1.000000,0.646414,0.002421,,fourier,,,15.000000,12,fourier:fourier::None:15.0:12:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.645420,0.007688,,fourier,,,30.000000,4,fourier:fourier::None:30.0:4:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.533623,0.310072,,fourier,,,30.000000,8,fourier:fourier::None:30.0:8:None:binary:0
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.999975,0.600216,0.763847,0.162222,,fourier,,,30.000000,12,fourier:fourier::None:30.0:12:None:binary:0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.019572,0.247272,0.631271,0.068654,,fourier,,,10.007737,4,fourier:fourier::None:10.007736611364223:4:None:binary:0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.019572,0.247272,0.631271,0.068654,,fourier,,,10.007737,8,fourier:fourier::None:10.007736611364223:8:None:binary:0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_fourier_f300_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.020293,0.253780,0.631495,0.068741,,fourier,,,10.007737,12,fourier:fourier::None:10.007736611364223:12:None:binary:0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.019572,0.247272,0.631271,0.068654,,fourier,,,15.000000,4,fourier:fourier::None:15.0:4:None:binary:0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.019572,0.246841,0.631222,0.068681,,fourier,,,15.000000,8,fourier:fourier::None:15.0:8:None:binary:0
