folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,3,,,12,0.609218,,0.609218,frame_00000.png,frame_00118.png,r120_e250_f1.mp4,120 Hz,1/250,蛍光灯あり,59.873 fps,0,rice,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_R_8,QR未検出,,accum,3,,,12,0.600954,,0.600954,frame_00000.png,frame_00118.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_R_12,QR未検出,,accum,3,,,12,0.610374,,0.610374,frame_00000.png,frame_00118.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_4,QR未検出,,accum,3,,,12,0.623481,,0.623481,frame_00000.png,frame_00118.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_8,QR未検出,,accum,3,,,12,0.624934,,0.624934,frame_00000.png,frame_00118.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_12,QR未検出,,accum,3,,,12,0.623877,,0.623877,frame_00000.png,frame_00118.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_4,QR未検出,,accum,3,,,12,0.631630,,0.631630,frame_00000.png,frame_00118.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_8,QR未検出,,accum,5,,,12,0.630742,,0.630742,frame_00000.png,frame_00118.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_12,QR未検出,,accum,5,,,12,0.632282,,0.632282,frame_00000.png,frame_00118.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_R_4,QR未検出,,accum,3,,,12,0.636660,,0.636660,frame_00000.png,frame_00118.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
