folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,rate_hz,exposure_denom,fluorescent_flag,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,lockin,,,22.500000,12,0.840008,,0.840008,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_8,QR未検出,,lockin,,,22.500000,12,0.844152,,0.844152,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_R_12,QR未検出,,lockin,,,22.500000,12,0.893067,,0.893067,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_4,QR未検出,,lockin,,,22.500000,12,0.824450,,0.824450,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_8,QR未検出,,lockin,,,22.500000,12,0.832243,,0.832243,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_R_12,QR未検出,,lockin,,,22.500000,12,0.816690,,0.816690,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_R_4,QR未検出,,lockin,,,22.500000,12,0.819913,,0.819913,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_R_8,QR未検出,,lockin,,,22.500000,12,0.852328,,0.852328,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_R_12,QR未検出,,lockin,,,22.500000,12,0.898885,,0.898885,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_4,QR未検出,,lockin,,,22.500000,12,0.864747,,0.864747,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_8,QR未検出,,lockin,,,22.500000,12,0.851516,,0.851516,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_R_12,QR未検出,,lockin,,,22.500000,12,0.876774,,0.876774,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_4,QR未検出,,lockin,,,22.500000,12,0.829598,,0.829598,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_8,QR未検出,,lockin,,,22.500000,12,0.822030,,0.822030,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_G_12,QR未検出,,lockin,,,22.500000,12,0.896407,,0.896407,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_4,QR未検出,,lockin,,,22.500000,12,0.761756,,0.761756,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_8,QR未検出,,lockin,,,22.500000,12,0.818339,,0.818339,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_G_12,QR未検出,,lockin,,,22.500000,12,0.846393,,0.846393,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_4,QR未検出,,lockin,,,22.500000,12,0.744667,,0.744667,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_8,QR未検出,,lockin,,,22.500000,8,0.846328,,0.846328,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_G_12,,zxing_gray,lockin,,,22.500000,12,0.928706,0.928706,0.928706,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,20,hocho,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_4,QR未検出,,lockin,,,22.500000,12,0.857881,,0.857881,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_8,QR未検出,,lockin,,,26.257733,12,0.847289,,0.847289,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,1.999742
ex_G_12,QR未検出,,lockin,,,22.500000,12,0.880380,,0.880380,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_4,QR未検出,,lockin,,,22.500000,12,0.817901,,0.817901,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_8,QR未検出,,lockin,,,22.500000,12,0.819385,,0.819385,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
rice_B_12,QR未検出,,lockin,,,22.500000,12,0.775222,,0.775222,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_4,QR未検出,,lockin,,,22.500000,12,0.824830,,0.824830,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_8,QR未検出,,lockin,,,22.500000,12,0.819539,,0.819539,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,1.999742
nagaoka_fireworks_B_12,QR未検出,,lockin,,,22.500000,12,0.758911,,0.758911,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,1.999742
hocho_B_4,QR未検出,,lockin,,,22.500000,12,0.696639,,0.696639,frame_00000.png,frame_00119.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,60.008 fps,45,60,1,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,1.999742
